指标名称,a,进出口金额:当月同比,社会消费品零售总额:当月同比,CPI:当月同比,PPI:全部工业品:当月同比,社会融资规模:当月值,M2:同比,M1:同比,人民币存款准备金率:大型存款类金融机构(月),人民币存款准备金率:中小型存款类金融机构(月),商品房销售面积:累计同比,商品房销售额:累计同比,PMI,财新中国PMI,财政收支差额:当月值,金融机构:财政存款余额,金融机构:机关团体存款余额,实际使用外资金额:外商直接投资:当月同比,官方储备资产:外汇储备,金融机构:人民币:资金运用:中央银行外汇占款,金融机构:贷款占比:基准利率,人民币:实际有效汇率指数,人民币:名义有效汇率指数
16-Sep,6.1,-6.79,10.7,1.92,0.1,"17,115.00",11.5,24.7,17,15,26.9,41.3,50.4,50.1,"-8,614.30","42,906.06","234,758.84",1.2,"31,663.82","229,108.68",18.19,121.61,116.56
16-Oct,6.1,-5.44,10,2.1,1.2,"8,865.00",11.6,23.9,17,15,26.8,41.2,51.2,51.2,"3,540.64","49,726.71","237,580.28",4.7,"31,206.55","226,430.04",16.89,121.35,116.78
16-Nov,6.2,1.42,10.8,2.25,3.3,"18,328.00",11.4,22.7,17,15,24.3,37.5,51.7,50.9,"-6,572.75","46,850.86","239,540.77",0.9,"30,515.98","222,603.28",17.65,122.04,117.1
16-Dec,6,-2.09,10.9,2.08,5.5,"16,260.00",11.3,21.4,17,15,22.5,34.8,51.4,51.9,"-10,700.61","35,292.31","235,086.40",5.7,"30,105.17","219,425.26",19.05,123.13,117.88
17-Jan,2.94,10.61,10.2,2.55,6.9,"37,095.00",10.7,14.5,17,15,23.8,30.4,51.3,51,"6,272.73","39,574.04","230,428.84",-9.2,"29,982.04","217,337.60",19.41,123.63,117.87
17-Feb,10.32,15.5,9.5,0.8,7.8,"11,046.00",10.4,21.4,17,15,25.1,26,51.6,51.7,321.1,"41,476.98","236,714.14",3.1,"30,051.24","216,756.41",18.55,122.44,116.77
17-Mar,7.6,17.7,10.9,0.9,7.6,"24,001.00",10.1,18.8,17,15,19.5,25.1,51.8,51.2,"-8,145.00","33,807.31","243,748.98",1.6,"30,090.88","216,209.50",18.13,120.78,116.04
17-Apr,6.5,8.69,10.7,1.2,6.4,"15,604.00",9.8,18.5,17,15,15.7,20.1,51.2,50.3,"3,148.68","40,232.47","245,846.31",-9.8,"30,295.33","215,789.52",17.71,119.73,115.34
17-May,6.5,10.33,10.7,1.5,5.5,"13,136.00",9.1,17,17,15,14.3,18.6,51.2,49.6,-841.35,"45,779.76","248,968.09",-8.7,"30,535.67","215,496.18",18.11,118.85,114.72
17-Jun,7.6,13.13,11,1.5,5.5,"21,131.00",9.1,15,17,15,16.1,21.5,51.7,50.4,"-9,933.54","39,614.92","255,630.19",-2.8,"30,567.89","215,153.03",19.47,119.21,115.29
17-Jul,6.4,8.44,10.4,1.4,5.5,"14,983.00",8.9,15.3,17,15,14,18.9,51.4,51.1,"2,960.47","51,223.82","257,235.99",-15.8,"30,807.20","215,106.56",18.93,119.34,115.26
17-Aug,6,8.69,10.1,1.8,6.3,"17,514.00",8.6,14,17,15,12.7,17.2,51.7,51.6,"-3,994.80","47,323.45","261,726.17",7,"30,915.27","215,098.35",17.85,120.07,115.82
17-Sep,6.6,12.88,10.3,1.6,6.9,"22,451.00",9,14,17,15,10.3,14.6,52.4,51,"-7,532.44","43,342.43","264,696.38",14.9,"31,085.10","215,106.85",18.17,121.7,117.14
17-Oct,6.2,10.93,10,1.9,6.9,"12,004.00",8.9,13,17,15,8.2,12.6,51.6,51,"5,111.91","53,838.74","267,826.85",2.5,"31,092.13","215,127.83",17.88,122.02,117.34
17-Nov,6.1,14.3,10.2,1.7,5.8,"19,139.00",9.1,12.7,17,15,7.9,12.7,51.8,50.8,"-5,180.29","53,460.59","270,821.62",90,"31,192.77","215,151.52",19.36,121.92,117.29
17-Dec,6.2,8.09,9.4,1.8,4.9,"15,865.00",8.1,11.8,17,15,7.7,13.7,51.6,51.5,"-12,950.43","41,134.49","263,718.21",-8.8,"31,399.49","214,788.33",21.31,122.12,117.21
18-Jan,15.43,22.04,9.55,1.5,4.3,"30,792.93",8.6,15,17,15,5.9,14.5,51.3,51.5,"10,693.51","50,944.50","267,994.42",0.6,"31,614.57","214,833.15",20.31,123.28,118.05
18-Feb,-2.12,24.24,9.7,2.9,3.7,"11,893.60",8.8,8.5,17,15,4.1,15.3,50.3,51.6,"-3,201.94","45,657.55","262,592.12",3.2,"31,344.82","214,873.66",18.83,126.19,119.37
18-Mar,6,5.3,10.1,2.1,3.1,"15,848.34",8.2,7.1,17,15,3.6,10.4,51.5,51,"-7,942.15","40,854.70","269,493.19",2.6,"31,428.20","214,952.04",16.04,124.32,119.35
18-Apr,7,16.5,9.4,1.8,3.4,"17,760.95",8.3,7.2,16,14,1.3,9,51.4,51.1,"3,777.37","48,039.15","271,858.60",1.9,"31,248.52","215,026.26",15.15,124.59,120.28
18-May,6.8,18.19,8.5,1.8,4.1,"9,518.04",8.3,6,16,14,2.9,11.8,51.9,51.1,628.45,"51,900.74","274,972.15",11.7,"31,106.23","215,117.70",14.36,125.36,121.56
18-Jun,6,12.06,9,1.9,4.7,"14,877.32",8,6.6,15.5,13.5,3.3,13.2,51.5,51,"-11,216.67","45,013.01","281,854.15",5.8,"31,121.29","215,193.78",14.83,124.52,120.95
18-Jul,6,18.25,8.8,2.1,4.6,"12,253.62",8.5,5.1,15.5,13.5,4.2,14.4,51.2,50.8,"3,516.28","54,357.91","283,652.50",19.3,"31,179.46","215,301.95",14.08,120.91,117.17
18-Aug,6.1,14.48,9,2.3,4.1,"19,391.25",8.2,3.9,15.5,13.5,4,14.5,51.3,50.6,"-4,060.10","55,207.76","286,011.85",11.4,"31,097.16","215,278.10",13.33,119.84,115.76
